"treatment_indicator","Profit_zscore","urban","female","group"
0,2.26620432902947,1,1,"Kenya"
0,-1.08891837732084,1,1,"Kenya"
0,-0.882220107842195,1,1,"Kenya"
1,-0.536308370938801,1,1,"Kenya"
1,-0.780577248782566,1,1,"Kenya"
1,0.278148761642014,1,1,"Kenya"
1,-0.962597852637492,1,1,"Kenya"
1,1.29256253205322,1,1,"Kenya"
1,-0.83245048516104,1,1,"Kenya"
1,1.72251915920636,1,1,"Kenya"
1,-0.527618831089882,1,1,"Kenya"
1,-0.46585905545796,1,1,"Kenya"
1,0.168378878302908,1,1,"Kenya"
1,-0.934941385217535,1,1,"Kenya"
0,0.926788351454816,1,1,"Kenya"
0,1.18801102577704,1,1,"Kenya"
0,0.053788220547076,1,1,"Kenya"
0,-0.0881092350543025,1,1,"Kenya"
0,0.775987937490871,1,1,"Kenya"
0,0.168378878302908,1,1,"Kenya"
0,-1.04038393996821,1,1,"Kenya"
0,0.926788351454816,1,1,"Kenya"
0,-1.0569462085986,1,1,"Kenya"
0,1.74318074842728,1,1,"Kenya"
0,-1.08891837732084,1,1,"Kenya"
0,-1.04038393996821,1,1,"Kenya"
1,-0.902082551537205,1,1,"Kenya"
1,-0.817484103598536,1,1,"Kenya"
1,-0.502455425672685,1,1,"Kenya"
1,-0.161360834393566,1,1,"Kenya"
1,-1.0619456120734,1,1,"Kenya"
1,-0.774594063414904,1,1,"Kenya"
1,-0.882220107842195,1,1,"Kenya"
0,0.561014170856412,1,1,"Kenya"
0,-0.308627130473389,1,1,"Kenya"
0,1.27752424223055,1,1,"Kenya"
0,0.279249140311339,1,1,"Kenya"
0,-0.585999475071341,1,1,"Kenya"
0,-0.829498830466856,1,1,"Kenya"
1,-0.389998698699439,1,1,"Kenya"
1,-0.308627130473389,1,1,"Kenya"
1,0.053788220547076,1,1,"Kenya"
1,0.278148761642014,1,1,"Kenya"
1,-1.08891837732084,1,1,"Kenya"
1,-1.04038393996821,1,1,"Kenya"
0,-1.08496964183641,1,1,"Kenya"
0,0.0655324085892179,1,1,"Kenya"
0,-0.224333602562805,1,1,"Kenya"
0,-0.307864033072092,1,1,"Kenya"
0,-0.217489656868194,1,1,"Kenya"
0,-0.170534190340396,1,1,"Kenya"
0,-0.0852726910078643,1,1,"Kenya"
0,0.351400360981277,1,1,"Kenya"
0,0.279249140311339,1,1,"Kenya"
0,0.0426491527405331,1,1,"Kenya"
0,2.12289270255217,1,1,"Kenya"
1,-0.836201613404542,1,1,"Kenya"
1,-0.0881092350543025,1,1,"Kenya"
1,-1.21096725122726,1,1,"Kenya"
1,-1.08891837732084,1,1,"Kenya"
1,-0.513171166214817,1,1,"Kenya"
1,1.73149154877131,1,1,"Kenya"
1,1.038347210152,1,1,"Kenya"
1,0.554407502144861,1,1,"Kenya"
1,1.37692275173096,1,1,"Kenya"
1,0.775987937490871,1,1,"Kenya"
0,1.29256253205322,1,1,"Kenya"
0,-0.836201613404542,1,1,"Kenya"
0,-1.08678255193238,1,1,"Kenya"
0,-0.900323788977279,1,1,"Kenya"
0,-0.987662662592875,1,1,"Kenya"
1,2.38988507384843,1,1,"Kenya"
1,1.1662755129866,1,1,"Kenya"
1,1.45017435107023,1,1,"Kenya"
1,1.02435733608064,1,1,"Kenya"
1,-0.774594063414904,1,1,"Kenya"
1,1.06846715504538,1,1,"Kenya"
0,-0.902082551537205,1,1,"Kenya"
0,-0.607954761723475,1,1,"Kenya"
0,-0.747373629107672,1,1,"Kenya"
0,-0.763902333765679,1,1,"Kenya"
0,-0.504275153455798,1,1,"Kenya"
0,0.541254381291978,1,1,"Kenya"
1,-0.243689026460077,1,1,"Kenya"
1,0.0655324085892179,1,1,"Kenya"
1,0.72128059601079,1,1,"Kenya"
1,-1.18688322514325,1,1,"Kenya"
1,-1.01227173235545,1,1,"Kenya"
1,-0.0516481414312481,1,1,"Kenya"
1,0.0667628849139204,1,1,"Kenya"
0,-0.975237387656886,1,1,"Kenya"
0,-0.682786669535997,1,1,"Kenya"
0,-0.780577248782566,1,1,"Kenya"
0,-0.46585905545796,1,1,"Kenya"
0,-0.460269749508966,1,1,"Kenya"
0,-0.513171166214817,1,1,"Kenya"
0,-0.308627130473389,1,1,"Kenya"
0,-0.224333602562805,1,1,"Kenya"
0,-0.454367231750619,1,1,"Kenya"
0,0.527618538901105,1,1,"Kenya"
0,-0.513171166214817,1,1,"Kenya"
0,1.07309802369418,1,1,"Kenya"
0,-0.682786669535997,1,1,"Kenya"
0,1.1662755129866,1,1,"Kenya"
0,0.278148761642014,1,1,"Kenya"
0,1.76946553184994,1,1,"Kenya"
0,0.797027506114782,1,1,"Kenya"
0,1.06846715504538,1,1,"Kenya"
0,1.29256253205322,1,1,"Kenya"
0,-0.533122853910954,1,1,"Kenya"
0,-0.454367231750619,1,1,"Kenya"
0,-1.08891837732084,1,1,"Kenya"
0,-1.04038393996821,1,1,"Kenya"
1,0.707323843095774,1,1,"Kenya"
1,-1.0569462085986,1,1,"Kenya"
1,-0.613704154916638,1,1,"Kenya"
1,1.1733789752345,1,1,"Kenya"
1,-0.900323788977279,1,1,"Kenya"
1,-1.04038393996821,1,1,"Kenya"
0,0.999943187574497,1,1,"Kenya"
0,-0.084131407035825,1,1,"Kenya"
0,0.053788220547076,1,1,"Kenya"
0,0.64440675833833,1,1,"Kenya"
0,1.76946553184994,1,1,"Kenya"
0,0.797027506114782,1,1,"Kenya"
0,-0.671334998340836,1,1,"Kenya"
1,-0.770403846521779,1,1,"Kenya"
1,-0.596729975551597,1,1,"Kenya"
1,-1.03088688958146,1,1,"Kenya"
1,-0.0881092350543025,1,1,"Kenya"
1,-0.912923972919539,1,1,"Kenya"
1,0.797027506114782,1,1,"Kenya"
1,3.17731825005897,1,1,"Kenya"
1,1.29256253205322,1,1,"Kenya"
1,-0.308627130473389,1,1,"Kenya"
1,0.331910043656957,1,1,"Kenya"
1,1.01066475503465,1,1,"Kenya"
1,0.775987937490871,1,1,"Kenya"
1,1.74000044783259,1,1,"Kenya"
1,-0.0914009472120988,1,1,"Kenya"
0,0.0489303180186462,1,1,"Kenya"
0,-0.907282392973561,1,1,"Kenya"
0,0.331910043656957,1,1,"Kenya"
0,-0.454367231750619,1,1,"Kenya"
0,1.02435733608064,1,1,"Kenya"
0,0.168378878302908,1,1,"Kenya"
0,-0.0914009472120988,1,1,"Kenya"
1,-0.170534190340396,1,1,"Kenya"
1,1.93633010390226,1,1,"Kenya"
1,2.89063081626786,1,1,"Kenya"
1,1.37692275173096,1,1,"Kenya"
1,1.2727267346704,1,1,"Kenya"
1,-0.460269749508966,1,1,"Kenya"
1,-1.04038393996821,1,1,"Kenya"
0,2.60934958220748,1,1,"Kenya"
0,1.93633010390226,1,1,"Kenya"
0,0.331910043656957,1,1,"Kenya"
0,0.278148761642014,1,1,"Kenya"
0,0.0308797417215726,1,1,"Kenya"
0,0.797027506114782,1,1,"Kenya"
0,1.59567992879877,1,1,"Kenya"
1,0.589355763276868,1,1,"Kenya"
1,2.91520633785549,1,1,"Kenya"
1,1.76946553184994,1,1,"Kenya"
1,1.11135182002072,1,1,"Kenya"
1,1.80656503830013,1,1,"Kenya"
0,0.926788351454816,1,1,"Kenya"
0,-0.454367231750619,1,1,"Kenya"
0,0.797027506114782,1,1,"Kenya"
0,0.0140416075385807,1,1,"Kenya"
1,-0.755772879297843,1,1,"Kenya"
1,-0.795034531254779,1,1,"Kenya"
1,-0.224333602562805,1,1,"Kenya"
1,-0.600870430429146,1,1,"Kenya"
1,1.2727267346704,1,1,"Kenya"
1,-0.460269749508966,1,1,"Kenya"
1,-0.249564779338118,1,1,"Kenya"
1,-0.170534190340396,1,1,"Kenya"
1,1.56217056483965,1,1,"Kenya"
1,4.50373739030517,1,1,"Kenya"
1,-0.0881092350543025,1,1,"Kenya"
1,4.74989831492713,1,1,"Kenya"
1,1.74000044783259,1,1,"Kenya"
1,4.23174379756576,1,1,"Kenya"
0,-0.902082551537205,1,1,"Kenya"
0,-0.607954761723475,1,1,"Kenya"
0,0.331910043656957,1,1,"Kenya"
0,-0.0881092350543025,1,1,"Kenya"
0,-0.217489656868194,1,1,"Kenya"
0,-0.389998698699439,1,1,"Kenya"
0,0.304097861345969,1,1,"Kenya"
0,-0.454367231750619,1,1,"Kenya"
0,-1.16129337150931,1,1,"Kenya"
0,-0.774594063414904,1,1,"Kenya"
0,-0.934941385217535,1,1,"Kenya"
1,4.58453015743886,1,1,"Kenya"
1,5.67792549452833,1,1,"Kenya"
1,3.39125009786564,1,1,"Kenya"
1,9.06834068235361,1,1,"Kenya"
1,-0.888087033060562,1,1,"Kenya"
1,1.42567613392666,1,1,"Kenya"
1,2.91371186318227,1,1,"Kenya"
1,-0.170534190340396,1,1,"Kenya"
1,0.514523855464347,1,1,"Kenya"
1,-0.613704154916638,1,1,"Kenya"
1,0.278148761642014,1,1,"Kenya"
1,-0.46585905545796,1,1,"Kenya"
1,-0.774594063414904,1,1,"Kenya"
1,-0.249564779338118,1,1,"Kenya"
1,-0.828927715417524,1,1,"Kenya"
1,-0.869866439067301,1,1,"Kenya"
1,-0.780577248782566,1,1,"Kenya"
1,0.278148761642014,1,1,"Kenya"
1,1.76946553184994,1,1,"Kenya"
1,-1.08891837732084,1,1,"Kenya"
1,-1.04038393996821,1,1,"Kenya"
0,-1.12154705989625,1,1,"Kenya"
0,-0.982114300786083,1,1,"Kenya"
0,-0.454367231750619,1,1,"Kenya"
0,0.527618538901105,1,1,"Kenya"
0,-0.963188651758466,1,1,"Kenya"
0,-1.02983968449315,1,1,"Kenya"
1,1.65833671265162,1,1,"Kenya"
1,2.68464918202747,1,1,"Kenya"
1,2.83500645164588,1,1,"Kenya"
1,6.13827670878308,1,1,"Kenya"
1,2.26620432902947,1,1,"Kenya"
1,0.168378878302908,1,1,"Kenya"
1,2.65010547630557,1,1,"Kenya"
0,0.487859334736731,1,1,"Kenya"
0,-0.458290946098432,1,1,"Kenya"
0,0.610031866766837,1,1,"Kenya"
0,0.64440675833833,1,1,"Kenya"
0,0.797027506114782,1,1,"Kenya"
0,0.804860768168677,1,1,"Kenya"
0,-0.536308370938801,1,1,"Kenya"
0,-0.308627130473389,1,1,"Kenya"
0,-0.891825978026518,1,1,"Kenya"
0,-1.18688322514325,1,1,"Kenya"
0,0.775987937490871,1,1,"Kenya"
0,-0.585999475071341,1,1,"Kenya"
0,0.0140416075385807,1,1,"Kenya"
0,-0.993526096686806,1,1,"Kenya"
0,-0.891825978026518,1,1,"Kenya"
0,0.0308797417215726,1,1,"Kenya"
0,-0.882220107842195,1,1,"Kenya"
1,-0.828927715417524,1,1,"Kenya"
1,-0.458290946098432,1,1,"Kenya"
1,-0.780577248782566,1,1,"Kenya"
1,-0.46585905545796,1,1,"Kenya"
1,0.0426491527405331,1,1,"Kenya"
1,0.0667628849139204,1,1,"Kenya"
0,0.0489303180186462,1,1,"Kenya"
0,0.0655324085892179,1,1,"Kenya"
0,-0.224333602562805,1,1,"Kenya"
0,-1.18688322514325,1,1,"Kenya"
0,-0.46585905545796,1,1,"Kenya"
0,-0.334540023946592,1,1,"Kenya"
0,0.0140416075385807,1,1,"Kenya"
0,-0.389998698699439,1,1,"Kenya"
0,2.68464918202747,1,1,"Kenya"
0,-0.224333602562805,1,1,"Kenya"
0,1.37692275173096,1,1,"Kenya"
0,0.775987937490871,1,1,"Kenya"
0,-0.868891357586685,1,1,"Kenya"
0,0.804860768168677,1,1,"Kenya"
1,-1.01181480571673,1,1,"Kenya"
1,1.18801102577704,1,1,"Kenya"
1,0.498783137522885,1,1,"Kenya"
1,2.1094387451236,1,1,"Kenya"
1,1.2727267346704,1,1,"Kenya"
1,0.168378878302908,1,1,"Kenya"
1,0.0140416075385807,1,1,"Kenya"
0,-1.04839222377657,1,1,"Kenya"
0,-0.502455425672685,1,1,"Kenya"
0,-0.334540023946592,1,1,"Kenya"
0,2.38988507384843,1,1,"Kenya"
0,2.68464918202747,1,1,"Kenya"
0,3.39125009786564,1,1,"Kenya"
0,-0.454367231750619,1,1,"Kenya"
0,2.51457372761923,1,1,"Kenya"
0,0.797027506114782,1,1,"Kenya"
0,0.963024600294696,1,1,"Kenya"
0,-0.669328519538614,1,1,"Kenya"
0,-1.08891837732084,1,1,"Kenya"
0,-0.513171166214817,1,1,"Kenya"
1,1.29256253205322,1,1,"Kenya"
1,0.439691947651825,1,1,"Kenya"
1,0.278148761642014,1,1,"Kenya"
1,-0.46585905545796,1,1,"Kenya"
1,-0.145945435603029,1,1,"Kenya"
1,-0.618613720965496,1,1,"Kenya"
0,2.38988507384843,1,1,"Kenya"
0,0.439691947651825,1,1,"Kenya"
0,1.1662755129866,1,1,"Kenya"
0,1.01066475503465,1,1,"Kenya"
0,0.775987937490871,1,1,"Kenya"
0,1.42567613392666,1,1,"Kenya"
0,4.23174379756576,1,1,"Kenya"
0,0.268394826377689,1,1,"Kenya"
0,0.739019578901911,1,1,"Kenya"
0,-0.780577248782566,1,1,"Kenya"
0,-0.711729200633716,1,1,"Kenya"
0,-0.618613720965496,1,1,"Kenya"
1,0.268394826377689,1,1,"Kenya"
1,0.053788220547076,1,1,"Kenya"
1,0.131645562963487,1,1,"Kenya"
1,0.527618538901105,1,1,"Kenya"
1,-1.08891837732084,1,1,"Kenya"
1,0.804860768168677,1,1,"Kenya"
0,-0.170534190340396,1,1,"Kenya"
0,-0.458290946098432,1,1,"Kenya"
0,0.331910043656957,1,1,"Kenya"
0,0.278148761642014,1,1,"Kenya"
0,-0.46585905545796,1,1,"Kenya"
0,-0.460269749508966,1,1,"Kenya"
0,-0.902082551537205,1,1,"Kenya"
0,-0.570538807817215,1,1,"Kenya"
0,4.50373739030517,1,1,"Kenya"
0,-0.820625228446936,1,1,"Kenya"
0,-0.937760912778516,1,1,"Kenya"
0,-0.680296769243123,1,1,"Kenya"
0,-0.750416914403846,1,1,"Kenya"
0,-0.170534190340396,1,1,"Kenya"
0,-0.308627130473389,1,1,"Kenya"
0,-0.780577248782566,1,1,"Kenya"
0,1.37692275173096,1,1,"Kenya"
0,-0.46585905545796,1,1,"Kenya"
0,-0.671334998340836,1,1,"Kenya"
1,-0.828927715417524,1,1,"Kenya"
1,-0.757618577348518,1,1,"Kenya"
1,-0.780577248782566,1,1,"Kenya"
1,-1.00375422679509,1,1,"Kenya"
1,-0.900323788977279,1,1,"Kenya"
1,-0.671334998340836,1,1,"Kenya"
1,2.38988507384843,1,1,"Kenya"
1,0.439691947651825,1,1,"Kenya"
1,0.610031866766837,1,1,"Kenya"
1,1.01066475503465,1,1,"Kenya"
1,1.76946553184994,1,1,"Kenya"
1,0.797027506114782,1,1,"Kenya"
1,0.541254381291978,1,1,"Kenya"
1,3.85298179624205,1,1,"Kenya"
1,-0.83245048516104,1,1,"Kenya"
1,0.943778054498694,1,1,"Kenya"
1,1.74318074842728,1,1,"Kenya"
1,1.76946553184994,1,1,"Kenya"
1,-0.648864337852529,1,1,"Kenya"
1,-0.513171166214817,1,1,"Kenya"
1,1.65833671265162,1,1,"Kenya"
1,-0.308627130473389,1,1,"Kenya"
1,0.053788220547076,1,1,"Kenya"
1,-0.0881092350543025,1,1,"Kenya"
1,-0.515532935175913,1,1,"Kenya"
1,-0.774594063414904,1,1,"Kenya"
1,-0.829498830466856,1,1,"Kenya"
0,-0.682618043178162,1,1,"Kenya"
0,-0.907282392973561,1,1,"Kenya"
0,-0.307864033072092,1,1,"Kenya"
0,-0.714228454047726,1,1,"Kenya"
0,0.0426491527405331,1,1,"Kenya"
0,4.23174379756576,1,1,"Kenya"
1,-0.828927715417524,1,1,"Kenya"
1,-0.570538807817215,1,1,"Kenya"
1,-0.919638160337506,1,1,"Kenya"
1,-0.820625228446936,1,1,"Kenya"
1,-0.962597852637492,1,1,"Kenya"
1,-0.648864337852529,1,1,"Kenya"
1,0.27764799441528,1,1,"Kenya"
1,3.48720761564365,1,1,"Kenya"
1,3.43296826015268,1,1,"Kenya"
1,1.1662755129866,1,1,"Kenya"
1,-0.454367231750619,1,1,"Kenya"
1,1.76946553184994,1,1,"Kenya"
1,-0.776777553091516,1,1,"Kenya"
1,-0.170534190340396,1,1,"Kenya"
1,-1.0569462085986,1,1,"Kenya"
1,-1.05869907189245,1,1,"Kenya"
1,-0.0881092350543025,1,1,"Kenya"
1,-0.46585905545796,1,1,"Kenya"
1,-0.774594063414904,1,1,"Kenya"
1,-0.829498830466856,1,1,"Kenya"
0,-0.170534190340396,1,1,"Kenya"
0,0.514523855464347,1,1,"Kenya"
0,2.27876280542612,1,1,"Kenya"
0,1.37692275173096,1,1,"Kenya"
0,2.26620432902947,1,1,"Kenya"
0,0.168378878302908,1,1,"Kenya"
0,1.06846715504538,1,1,"Kenya"
0,0.561014170856412,1,1,"Kenya"
0,3.43296826015268,1,1,"Kenya"
0,0.331910043656957,1,1,"Kenya"
0,1.01066475503465,1,1,"Kenya"
0,0.0308797417215726,1,1,"Kenya"
0,-0.776777553091516,1,1,"Kenya"
1,0.268394826377689,1,1,"Kenya"
1,2.68464918202747,1,1,"Kenya"
1,3.39125009786564,1,1,"Kenya"
1,-0.454367231750619,1,1,"Kenya"
1,-0.0187941379963807,1,1,"Kenya"
1,2.05432476173853,1,1,"Kenya"
1,2.65010547630557,1,1,"Kenya"
0,2.38988507384843,1,1,"Kenya"
0,-0.682786669535997,1,1,"Kenya"
0,0.331910043656957,1,1,"Kenya"
0,-0.454367231750619,1,1,"Kenya"
0,1.2727267346704,1,1,"Kenya"
0,0.168378878302908,1,1,"Kenya"
0,-0.389998698699439,1,1,"Kenya"
0,-0.458290946098432,1,1,"Kenya"
0,-0.780577248782566,1,1,"Kenya"
0,0.571155158999067,1,1,"Kenya"
0,0.279249140311339,1,1,"Kenya"
0,0.294108603865283,1,1,"Kenya"
0,0.367274165953357,1,1,"Kenya"
1,-0.389998698699439,1,1,"Kenya"
1,0.290028132026782,1,1,"Kenya"
1,-0.891825978026518,1,1,"Kenya"
1,-0.600870430429146,1,1,"Kenya"
1,-1.11161949179135,1,1,"Kenya"
1,-0.900323788977279,1,1,"Kenya"
1,-0.513171166214817,1,1,"Kenya"
1,0.561014170856412,1,1,"Kenya"
1,-0.907282392973561,1,1,"Kenya"
1,-0.391206696428733,1,1,"Kenya"
1,0.278148761642014,1,1,"Kenya"
1,-0.714228454047726,1,1,"Kenya"
1,0.0426491527405331,1,1,"Kenya"
1,-0.882220107842195,1,1,"Kenya"
1,-0.803323522775636,1,1,"Kenya"
1,-0.891825978026518,1,1,"Kenya"
1,-0.600870430429146,1,1,"Kenya"
1,-0.894047898626717,1,1,"Kenya"
1,-0.697695637028506,1,1,"Kenya"
0,-0.755772879297843,1,1,"Kenya"
0,-0.83245048516104,1,1,"Kenya"
0,0.331910043656957,1,1,"Kenya"
0,2.47569674181991,1,1,"Kenya"
0,-0.714228454047726,1,1,"Kenya"
0,-0.900323788977279,1,1,"Kenya"
0,-0.671334998340836,1,1,"Kenya"
0,0.561014170856412,1,1,"Kenya"
0,0.28254494124553,1,1,"Kenya"
0,-0.502455425672685,1,1,"Kenya"
0,0.278148761642014,1,1,"Kenya"
0,1.76946553184994,1,1,"Kenya"
0,-1.08891837732084,1,1,"Kenya"
0,1.59567992879877,1,1,"Kenya"
1,1.65833671265162,1,1,"Kenya"
1,-0.308627130473389,1,1,"Kenya"
1,1.1662755129866,1,1,"Kenya"
1,1.74318074842728,1,1,"Kenya"
1,-0.46585905545796,1,1,"Kenya"
1,-1.08891837732084,1,1,"Kenya"
1,-1.04038393996821,1,1,"Kenya"
0,0.561014170856412,1,1,"Kenya"
0,0.64440675833833,1,1,"Kenya"
0,1.2727267346704,1,1,"Kenya"
0,0.797027506114782,1,1,"Kenya"
0,0.27764799441528,1,1,"Kenya"
0,-0.536308370938801,1,1,"Kenya"
0,1.18801102577704,1,1,"Kenya"
0,-0.224333602562805,1,1,"Kenya"
0,0.351400360981277,1,1,"Kenya"
0,-0.714228454047726,1,1,"Kenya"
0,0.797027506114782,1,1,"Kenya"
0,0.0140416075385807,1,1,"Kenya"
1,0.561014170856412,1,1,"Kenya"
1,-1.0569462085986,1,1,"Kenya"
1,0.610031866766837,1,1,"Kenya"
1,1.01066475503465,1,1,"Kenya"
1,1.76946553184994,1,1,"Kenya"
1,2.05432476173853,1,1,"Kenya"
1,0.0140416075385807,1,1,"Kenya"
0,0.561014170856412,1,1,"Kenya"
0,-0.607954761723475,1,1,"Kenya"
0,-0.641516337227626,1,1,"Kenya"
0,-0.217489656868194,1,1,"Kenya"
0,-1.08891837732084,1,1,"Kenya"
0,0.27764799441528,1,1,"Kenya"
1,0.561014170856412,1,1,"Kenya"
1,1.18801102577704,1,1,"Kenya"
1,0.331910043656957,1,1,"Kenya"
1,1.01066475503465,1,1,"Kenya"
1,1.55140585948903,1,1,"Kenya"
1,0.0140416075385807,1,1,"Kenya"
1,0.195239990258008,1,1,"Kenya"
1,0.813851486714433,1,1,"Kenya"
1,0.053788220547076,1,1,"Kenya"
1,1.37692275173096,1,1,"Kenya"
1,-0.460269749508966,1,1,"Kenya"
0,0.926788351454816,1,1,"Kenya"
0,-0.795034531254779,1,1,"Kenya"
0,0.165036949791028,1,1,"Kenya"
0,0.351400360981277,1,1,"Kenya"
0,-0.0187941379963807,1,1,"Kenya"
0,0.231243741084095,1,1,"Kenya"
0,0.0140416075385807,1,1,"Kenya"
1,-0.0973793542207155,1,1,"Kenya"
1,-0.145945435603029,1,1,"Kenya"
1,1.06846715504538,1,1,"Kenya"
0,0.926788351454816,1,1,"Kenya"
0,0.439691947651825,1,1,"Kenya"
0,0.610031866766837,1,1,"Kenya"
0,1.74318074842728,1,1,"Kenya"
0,0.279249140311339,1,1,"Kenya"
0,-0.145945435603029,1,1,"Kenya"
0,2.12289270255217,1,1,"Kenya"
1,-1.01181480571673,1,1,"Kenya"
1,-0.757618577348518,1,1,"Kenya"
1,-0.891825978026518,1,1,"Kenya"
1,-1.07700582613436,1,1,"Kenya"
1,-1.13645643165033,1,1,"Kenya"
1,-0.963188651758466,1,1,"Kenya"
1,0.0140416075385807,1,1,"Kenya"
1,-0.975237387656886,1,1,"Kenya"
1,-0.682786669535997,1,1,"Kenya"
1,-0.891825978026518,1,1,"Kenya"
1,-0.930502627455831,1,1,"Kenya"
1,-1.0619456120734,1,1,"Kenya"
1,-1.08891837732084,1,1,"Kenya"
1,-0.934941385217535,1,1,"Kenya"
0,-0.682618043178162,1,1,"Kenya"
0,-1.0569462085986,1,1,"Kenya"
0,-0.919638160337506,1,1,"Kenya"
0,-1.18688322514325,1,1,"Kenya"
0,2.26620432902947,1,1,"Kenya"
0,0.482703192208845,1,1,"Kenya"
0,-1.04038393996821,1,1,"Kenya"
1,2.02411089325003,1,1,"Kenya"
1,-0.158963314848347,1,1,"Kenya"
1,0.053788220547076,1,1,"Kenya"
1,3.75642072056807,1,1,"Kenya"
1,1.42567613392666,1,1,"Kenya"
1,0.0140416075385807,1,1,"Kenya"
0,0.439691947651825,1,1,"Kenya"
0,1.72251915920636,1,1,"Kenya"
0,-0.837458926196091,1,1,"Kenya"
1,-0.792350297357684,1,1,"Kenya"
1,-0.682786669535997,1,1,"Kenya"
1,-0.363394514117745,1,1,"Kenya"
1,0.278148761642014,1,1,"Kenya"
1,0.676640178054965,1,1,"Kenya"
1,-0.0987967885171387,1,1,"Kenya"
1,-0.902082551537205,1,1,"Kenya"
1,-0.83245048516104,1,1,"Kenya"
1,-0.780577248782566,1,1,"Kenya"
1,-0.820625228446936,1,1,"Kenya"
1,1.02435733608064,1,1,"Kenya"
1,-0.818599467361735,1,1,"Kenya"
1,-1.04038393996821,1,1,"Kenya"
0,-0.0973793542207155,1,1,"Kenya"
0,-0.308627130473389,1,1,"Kenya"
0,0.053788220547076,1,1,"Kenya"
0,-0.600870430429146,1,1,"Kenya"
0,-1.07188038801699,1,1,"Kenya"
0,-0.774594063414904,1,1,"Kenya"
0,-1.04038393996821,1,1,"Kenya"
1,-0.170534190340396,1,1,"Kenya"
1,-0.682786669535997,1,1,"Kenya"
1,-0.891825978026518,1,1,"Kenya"
1,-0.674122029768409,1,1,"Kenya"
1,-0.813576213483633,1,1,"Kenya"
1,-0.585999475071341,1,1,"Kenya"
0,-0.975237387656886,1,1,"Kenya"
0,-0.83245048516104,1,1,"Kenya"
0,-0.86401379571553,1,1,"Kenya"
0,0.64440675833833,1,1,"Kenya"
0,-0.863250093201586,1,1,"Kenya"
0,-1.08891837732084,1,1,"Kenya"
0,-0.724056275716176,1,1,"Kenya"
1,-0.477784502043056,1,1,"Kenya"
1,-0.224333602562805,1,1,"Kenya"
1,-0.0881092350543025,1,1,"Kenya"
1,-0.16781577715024,1,1,"Kenya"
1,-0.334540023946592,1,1,"Kenya"
1,-0.882220107842195,1,1,"Kenya"
0,0.561014170856412,1,1,"Kenya"
0,0.0655324085892179,1,1,"Kenya"
0,-0.613704154916638,1,1,"Kenya"
0,-0.674122029768409,1,1,"Kenya"
