"treatment_indicator","Revenue_zscore","urban","female","group"
0,0.287942949741163,1,1,"Kenya"
0,-0.259209698196682,1,1,"Kenya"
0,-0.935151541457129,1,1,"Kenya"
0,-0.841081498152472,1,1,"Kenya"
1,-0.480901566534147,1,1,"Kenya"
1,-0.489777014003889,1,1,"Kenya"
0,-0.609042319246699,1,1,"Kenya"
0,-0.723290753784559,1,1,"Kenya"
0,-0.259209698196682,1,1,"Kenya"
0,0.544224455166266,1,1,"Kenya"
0,0.537683441031058,1,1,"Kenya"
0,0.259411997439661,1,1,"Kenya"
0,-0.775485307878035,1,1,"Kenya"
0,-0.117404011063333,1,1,"Kenya"
1,-0.737183071959251,1,1,"Kenya"
1,-0.0227495344425497,1,1,"Kenya"
1,-0.688728342975811,1,1,"Kenya"
1,0.0316614443160595,1,1,"Kenya"
1,3.12968595259649,1,1,"Kenya"
1,4.06263776543951,1,1,"Kenya"
0,-0.942208276299333,1,1,"Kenya"
0,-0.985280072087563,1,1,"Kenya"
0,-1.05490121664145,1,1,"Kenya"
0,-0.983912581130592,1,1,"Kenya"
1,0.287942949741163,1,1,"Kenya"
1,-0.25626327422322,1,1,"Kenya"
1,-0.0863357996512345,1,1,"Kenya"
1,-0.775485307878035,1,1,"Kenya"
1,0.0730374329074926,1,1,"Kenya"
0,-0.0928036563767507,1,1,"Kenya"
0,-0.483945766305764,1,1,"Kenya"
0,-0.989038895290073,1,1,"Kenya"
0,-0.117404011063333,1,1,"Kenya"
1,0.416083702453715,1,1,"Kenya"
1,-1.0371422416512,1,1,"Kenya"
1,-0.575902515904168,1,1,"Kenya"
1,-0.307845455034159,1,1,"Kenya"
0,-0.993464577384354,1,1,"Kenya"
0,-0.518520546014854,1,1,"Kenya"
0,-0.775485307878035,1,1,"Kenya"
0,-0.688728342975811,1,1,"Kenya"
0,-0.609042319246699,1,1,"Kenya"
0,-0.489777014003889,1,1,"Kenya"
0,0.259411997439661,1,1,"Kenya"
0,-0.879169786946637,1,1,"Kenya"
0,1.31306897144158,1,1,"Kenya"
0,-0.0227495344425497,1,1,"Kenya"
0,0.605159794530557,1,1,"Kenya"
0,-0.176736931956433,1,1,"Kenya"
0,0.64436176481997,1,1,"Kenya"
0,-0.489777014003889,1,1,"Kenya"
1,-0.0964793083964922,1,1,"Kenya"
1,0.605159794530557,1,1,"Kenya"
1,-0.895234983062355,1,1,"Kenya"
0,0.108545895943591,1,1,"Kenya"
0,-0.116155030354818,1,1,"Kenya"
0,0.0865380988942132,1,1,"Kenya"
0,-0.0569872567721125,1,1,"Kenya"
0,-0.688728342975811,1,1,"Kenya"
1,-0.916580125756823,1,1,"Kenya"
1,2.31238786336415,1,1,"Kenya"
1,1.81527708434869,1,1,"Kenya"
1,2.41783936370384,1,1,"Kenya"
1,1.78701042864493,1,1,"Kenya"
1,0.0316614443160595,1,1,"Kenya"
1,-0.0227495344425497,1,1,"Kenya"
1,0.432285895985109,1,1,"Kenya"
1,0.821177027912904,1,1,"Kenya"
1,-0.307845455034159,1,1,"Kenya"
0,-0.956804493565229,1,1,"Kenya"
0,0.172975048166937,1,1,"Kenya"
0,-0.3763197239303,1,1,"Kenya"
0,-0.117404011063333,1,1,"Kenya"
1,7.00251839187887,1,1,"Kenya"
1,1.84536038380281,1,1,"Kenya"
1,0.605159794530557,1,1,"Kenya"
1,0.821177027912904,1,1,"Kenya"
0,0.0316614443160595,1,1,"Kenya"
0,0.21076420533812,1,1,"Kenya"
0,-0.259209698196682,1,1,"Kenya"
0,-0.176736931956433,1,1,"Kenya"
0,3.69142486835319,1,1,"Kenya"
1,3.4799565622675,1,1,"Kenya"
1,0.259411997439661,1,1,"Kenya"
1,0.222428651991302,1,1,"Kenya"
1,1.21568609673245,1,1,"Kenya"
0,-0.0227495344425497,1,1,"Kenya"
0,2.81700494765158,1,1,"Kenya"
0,0.0730374329074926,1,1,"Kenya"
1,0.287942949741163,1,1,"Kenya"
1,-0.489777014003889,1,1,"Kenya"
1,1.4695292872578,1,1,"Kenya"
1,0.222428651991302,1,1,"Kenya"
1,0.0730374329074926,1,1,"Kenya"
1,-0.723290753784559,1,1,"Kenya"
1,3.19826827271227,1,1,"Kenya"
1,2.81700494765158,1,1,"Kenya"
0,0.0316614443160595,1,1,"Kenya"
0,-0.723290753784559,1,1,"Kenya"
0,-0.259209698196682,1,1,"Kenya"
0,-0.723290753784559,1,1,"Kenya"
0,-0.985280072087563,1,1,"Kenya"
0,-0.276528327943367,1,1,"Kenya"
0,-0.97439050893205,1,1,"Kenya"
1,1.31306897144158,1,1,"Kenya"
1,2.12557687153961,1,1,"Kenya"
1,-0.967992682233018,1,1,"Kenya"
1,0.0228458600174344,1,1,"Kenya"
1,0.64436176481997,1,1,"Kenya"
1,-0.429645265449127,1,1,"Kenya"
1,-0.373020144113554,1,1,"Kenya"
1,0.0865380988942132,1,1,"Kenya"
1,-0.875276703864969,1,1,"Kenya"
1,-0.403066177019572,1,1,"Kenya"
1,-0.865323824671802,1,1,"Kenya"
1,-0.642728513560228,1,1,"Kenya"
1,0.605159794530557,1,1,"Kenya"
0,0.21076420533812,1,1,"Kenya"
0,-0.259209698196682,1,1,"Kenya"
0,-0.735568749483261,1,1,"Kenya"
0,-0.879169786946637,1,1,"Kenya"
1,1.82563198229178,1,1,"Kenya"
1,3.24644282248683,1,1,"Kenya"
1,0.605159794530557,1,1,"Kenya"
1,0.222428651991302,1,1,"Kenya"
1,0.834803208790797,1,1,"Kenya"
0,0.0316614443160595,1,1,"Kenya"
0,1.02806229457046,1,1,"Kenya"
0,0.422011443965169,1,1,"Kenya"
0,0.0730374329074926,1,1,"Kenya"
0,-0.737183071959251,1,1,"Kenya"
0,0.259411997439661,1,1,"Kenya"
0,-0.875276703864969,1,1,"Kenya"
0,-0.498286899004985,1,1,"Kenya"
0,-0.737183071959251,1,1,"Kenya"
0,-0.0863357996512345,1,1,"Kenya"
0,-0.783949064961224,1,1,"Kenya"
1,-0.609042319246699,1,1,"Kenya"
1,0.172975048166937,1,1,"Kenya"
1,-0.176736931956433,1,1,"Kenya"
1,0.415832032054979,1,1,"Kenya"
0,-0.737183071959251,1,1,"Kenya"
0,-0.691394444560302,1,1,"Kenya"
0,-0.575902515904168,1,1,"Kenya"
0,0.64436176481997,1,1,"Kenya"
0,0.544224455166266,1,1,"Kenya"
0,0.911305424680129,1,1,"Kenya"
0,0.605159794530557,1,1,"Kenya"
0,-0.875276703864969,1,1,"Kenya"
0,0.453920320849145,1,1,"Kenya"
1,0.416083702453715,1,1,"Kenya"
1,0.67779168489946,1,1,"Kenya"
1,1.4695292872578,1,1,"Kenya"
1,-0.176736931956433,1,1,"Kenya"
1,-0.117404011063333,1,1,"Kenya"
0,0.544224455166266,1,1,"Kenya"
0,-0.575902515904168,1,1,"Kenya"
0,3.3633210148424,1,1,"Kenya"
0,-0.0227495344425497,1,1,"Kenya"
0,0.605159794530557,1,1,"Kenya"
0,-0.176736931956433,1,1,"Kenya"
0,0.453920320849145,1,1,"Kenya"
0,-0.557786018161678,1,1,"Kenya"
0,-0.875276703864969,1,1,"Kenya"
0,-0.117404011063333,1,1,"Kenya"
1,-0.25626327422322,1,1,"Kenya"
1,-0.604957495287578,1,1,"Kenya"
1,-0.0769455359694993,1,1,"Kenya"
1,-0.498286899004985,1,1,"Kenya"
0,1.31306897144158,1,1,"Kenya"
0,0.44427794511879,1,1,"Kenya"
0,2.33389877998503,1,1,"Kenya"
0,2.81700494765158,1,1,"Kenya"
0,2.73921764849906,1,1,"Kenya"
0,-0.480901566534147,1,1,"Kenya"
0,-0.775485307878035,1,1,"Kenya"
0,-0.688728342975811,1,1,"Kenya"
1,-0.352760813821596,1,1,"Kenya"
1,-0.723290753784559,1,1,"Kenya"
1,-0.259209698196682,1,1,"Kenya"
1,-0.117404011063333,1,1,"Kenya"
0,0.0316614443160595,1,1,"Kenya"
0,2.31238786336415,1,1,"Kenya"
0,-0.518520546014854,1,1,"Kenya"
0,-0.575902515904168,1,1,"Kenya"
0,4.13216553111771,1,1,"Kenya"
0,-0.723290753784559,1,1,"Kenya"
0,-0.345646647469406,1,1,"Kenya"
0,-0.176736931956433,1,1,"Kenya"
0,-0.212624733048746,1,1,"Kenya"
0,-0.609042319246699,1,1,"Kenya"
0,0.67779168489946,1,1,"Kenya"
0,-0.691394444560302,1,1,"Kenya"
0,-0.593507620990398,1,1,"Kenya"
1,-0.916580125756823,1,1,"Kenya"
1,-1.28372372925817,1,1,"Kenya"
1,-0.995026379049289,1,1,"Kenya"
1,-0.879169786946637,1,1,"Kenya"
1,0.287942949741163,1,1,"Kenya"
1,1.41992540383451,1,1,"Kenya"
1,4.64363208820732,1,1,"Kenya"
1,0.287942949741163,1,1,"Kenya"
1,-0.0227495344425497,1,1,"Kenya"
1,-0.950705292378473,1,1,"Kenya"
1,-0.3763197239303,1,1,"Kenya"
1,-0.307845455034159,1,1,"Kenya"
1,0.0316614443160595,1,1,"Kenya"
1,-0.25626327422322,1,1,"Kenya"
1,-0.604957495287578,1,1,"Kenya"
1,-0.3763197239303,1,1,"Kenya"
1,-0.879169786946637,1,1,"Kenya"
0,1.65854939197827,1,1,"Kenya"
0,-0.777831393833026,1,1,"Kenya"
0,1.5795916374136,1,1,"Kenya"
0,0.168258154892906,1,1,"Kenya"
1,-0.993464577384354,1,1,"Kenya"
1,-1.14361548538976,1,1,"Kenya"
1,-0.86426834310575,1,1,"Kenya"
1,-0.875276703864969,1,1,"Kenya"
1,-0.307845455034159,1,1,"Kenya"
1,1.05678746601647,1,1,"Kenya"
1,-0.956804493565229,1,1,"Kenya"
1,1.4695292872578,1,1,"Kenya"
1,-0.688728342975811,1,1,"Kenya"
1,-0.606533883894224,1,1,"Kenya"
1,-0.518520546014854,1,1,"Kenya"
1,-0.875276703864969,1,1,"Kenya"
1,-0.936302220137885,1,1,"Kenya"
0,1.31306897144158,1,1,"Kenya"
0,2.89617221281582,1,1,"Kenya"
0,1.4695292872578,1,1,"Kenya"
0,0.821177027912904,1,1,"Kenya"
0,1.5965689846741,1,1,"Kenya"
0,0.0316614443160595,1,1,"Kenya"
0,-0.0227495344425497,1,1,"Kenya"
0,-0.0863357996512345,1,1,"Kenya"
0,-0.841081498152472,1,1,"Kenya"
1,-0.723290753784559,1,1,"Kenya"
1,1.98815098289414,1,1,"Kenya"
1,3.01658773962544,1,1,"Kenya"
0,0.0316614443160595,1,1,"Kenya"
0,-0.489777014003889,1,1,"Kenya"
0,0.605159794530557,1,1,"Kenya"
0,-0.176736931956433,1,1,"Kenya"
0,-0.609042319246699,1,1,"Kenya"
0,-0.489777014003889,1,1,"Kenya"
0,-0.293784477905772,1,1,"Kenya"
0,-0.476111119917234,1,1,"Kenya"
0,-0.307845455034159,1,1,"Kenya"
1,-0.865323824671802,1,1,"Kenya"
1,-0.723290753784559,1,1,"Kenya"
1,-0.777831393833026,1,1,"Kenya"
1,-0.935151541457129,1,1,"Kenya"
1,-0.307845455034159,1,1,"Kenya"
1,0.0316614443160595,1,1,"Kenya"
1,-0.25626327422322,1,1,"Kenya"
1,-0.691394444560302,1,1,"Kenya"
1,-0.476111119917234,1,1,"Kenya"
1,-0.783949064961224,1,1,"Kenya"
1,-1.12416814515116,1,1,"Kenya"
1,-0.956804493565229,1,1,"Kenya"
1,-0.850438431222114,1,1,"Kenya"
1,-0.454485366891695,1,1,"Kenya"
0,0.0316614443160595,1,1,"Kenya"
0,2.07887412358348,1,1,"Kenya"
0,-0.940332858465747,1,1,"Kenya"
0,-1.01498465824668,1,1,"Kenya"
0,-0.593507620990398,1,1,"Kenya"
0,0.0316614443160595,1,1,"Kenya"
0,0.0940073354477852,1,1,"Kenya"
0,0.432285895985109,1,1,"Kenya"
1,2.59447649856709,1,1,"Kenya"
1,0.911305424680129,1,1,"Kenya"
1,-0.0863357996512345,1,1,"Kenya"
0,0.21076420533812,1,1,"Kenya"
0,0.0865380988942132,1,1,"Kenya"
0,-0.3763197239303,1,1,"Kenya"
0,-0.498286899004985,1,1,"Kenya"
0,-0.480901566534147,1,1,"Kenya"
0,0.234115579316187,1,1,"Kenya"
0,-0.777831393833026,1,1,"Kenya"
0,0.422011443965169,1,1,"Kenya"
0,-0.117404011063333,1,1,"Kenya"
1,0.80050596059137,1,1,"Kenya"
1,-0.25626327422322,1,1,"Kenya"
1,0.605159794530557,1,1,"Kenya"
1,0.422011443965169,1,1,"Kenya"
1,0.834803208790797,1,1,"Kenya"
0,-0.480901566534147,1,1,"Kenya"
0,0.605159794530557,1,1,"Kenya"
0,-0.117404011063333,1,1,"Kenya"
1,1.31306897144158,1,1,"Kenya"
1,-0.0227495344425497,1,1,"Kenya"
1,0.821177027912904,1,1,"Kenya"
1,-0.117404011063333,1,1,"Kenya"
1,0.0316614443160595,1,1,"Kenya"
1,0.911305424680129,1,1,"Kenya"
1,-0.675693911891101,1,1,"Kenya"
0,1.31306897144158,1,1,"Kenya"
0,2.07887412358348,1,1,"Kenya"
0,0.432285895985109,1,1,"Kenya"
0,-0.476111119917234,1,1,"Kenya"
0,0.0730374329074926,1,1,"Kenya"
1,-0.176736931956433,1,1,"Kenya"
1,0.263478876878319,1,1,"Kenya"
0,0.467340003538735,1,1,"Kenya"
0,0.21076420533812,1,1,"Kenya"
0,-0.259209698196682,1,1,"Kenya"
0,-0.775485307878035,1,1,"Kenya"
0,0.834803208790797,1,1,"Kenya"
1,-0.993464577384354,1,1,"Kenya"
1,-1.35377785119237,1,1,"Kenya"
1,-1.06307332643301,1,1,"Kenya"
1,-0.875276703864969,1,1,"Kenya"
1,-0.117404011063333,1,1,"Kenya"
1,-0.993464577384354,1,1,"Kenya"
1,-1.23702098130203,1,1,"Kenya"
1,-0.950705292378473,1,1,"Kenya"
1,-0.841081498152472,1,1,"Kenya"
0,-1.03190680319812,1,1,"Kenya"
0,3.11183132343955,1,1,"Kenya"
0,-0.176736931956433,1,1,"Kenya"
1,0.0316614443160595,1,1,"Kenya"
1,1.4695292872578,1,1,"Kenya"
1,0.834803208790797,1,1,"Kenya"
0,2.59447649856709,1,1,"Kenya"
0,0.821177027912904,1,1,"Kenya"
1,-0.583414168704189,1,1,"Kenya"
1,0.21076420533812,1,1,"Kenya"
1,0.259411997439661,1,1,"Kenya"
1,0.821177027912904,1,1,"Kenya"
1,0.544224455166266,1,1,"Kenya"
1,-1.1903182333459,1,1,"Kenya"
1,-0.0863357996512345,1,1,"Kenya"
1,-0.575902515904168,1,1,"Kenya"
0,-0.737183071959251,1,1,"Kenya"
0,-1.1903182333459,1,1,"Kenya"
0,-0.916130512669384,1,1,"Kenya"
0,-0.975068099851902,1,1,"Kenya"
1,-0.993464577384354,1,1,"Kenya"
1,-1.07356136345556,1,1,"Kenya"
1,-0.777831393833026,1,1,"Kenya"
1,-0.815401866272808,1,1,"Kenya"
0,-1.07034902901189,1,1,"Kenya"
0,-0.25626327422322,1,1,"Kenya"
0,-0.86426834310575,1,1,"Kenya"
0,-0.841081498152472,1,1,"Kenya"
1,-0.0195948567689612,1,1,"Kenya"
1,-0.302966022179353,1,1,"Kenya"
1,0.0865380988942132,1,1,"Kenya"
1,-0.216653490351206,1,1,"Kenya"
1,0.0730374329074926,1,1,"Kenya"
0,-0.480901566534147,1,1,"Kenya"
0,-1.1903182333459,1,1,"Kenya"
0,-0.604957495287578,1,1,"Kenya"
0,-0.675693911891101,1,1,"Kenya"
0,-0.117404011063333,1,1,"Kenya"
0,0.821177027912904,1,1,"Kenya"
0,0.834803208790797,1,1,"Kenya"
1,-0.224620061109044,1,1,"Kenya"
1,-0.691394444560302,1,1,"Kenya"
1,-0.841081498152472,1,1,"Kenya"
1,6.43869907994364,1,1,"Kenya"
1,4.88103900095152,1,1,"Kenya"
1,0.821177027912904,1,1,"Kenya"
1,-0.117404011063333,1,1,"Kenya"
1,-0.829444413912288,1,1,"Kenya"
1,-0.769993501740693,1,1,"Kenya"
1,-0.259209698196682,1,1,"Kenya"
1,-0.117404011063333,1,1,"Kenya"
1,0.0316614443160595,1,1,"Kenya"
1,-0.840047623674894,1,1,"Kenya"
1,0.259411997439661,1,1,"Kenya"
1,-0.575902515904168,1,1,"Kenya"
1,3.69142486835319,1,1,"Kenya"
1,-1.17286163118193,1,1,"Kenya"
1,-1.35377785119237,1,1,"Kenya"
1,-1.06307332643301,1,1,"Kenya"
1,-0.66029862033172,1,1,"Kenya"
1,0.327521075228455,1,1,"Kenya"
1,-0.86426834310575,1,1,"Kenya"
1,-0.117404011063333,1,1,"Kenya"
1,1.31306897144158,1,1,"Kenya"
1,1.61184664402214,1,1,"Kenya"
1,0.605159794530557,1,1,"Kenya"
1,0.263478876878319,1,1,"Kenya"
0,-1.1113540698799,1,1,"Kenya"
0,-0.52480407497099,1,1,"Kenya"
0,-0.604957495287578,1,1,"Kenya"
0,0.0228458600174344,1,1,"Kenya"
0,-0.117404011063333,1,1,"Kenya"
0,1.37833290424147,1,1,"Kenya"
0,-0.737183071959251,1,1,"Kenya"
0,-0.25626327422322,1,1,"Kenya"
0,-0.777831393833026,1,1,"Kenya"
0,0.821177027912904,1,1,"Kenya"
0,-0.879169786946637,1,1,"Kenya"
0,-0.956804493565229,1,1,"Kenya"
1,0.544224455166266,1,1,"Kenya"
1,-0.0227495344425497,1,1,"Kenya"
1,0.0865380988942132,1,1,"Kenya"
1,0.0228458600174344,1,1,"Kenya"
0,-0.737183071959251,1,1,"Kenya"
0,-0.723290753784559,1,1,"Kenya"
0,-0.604957495287578,1,1,"Kenya"
0,-0.975068099851902,1,1,"Kenya"
0,0.263478876878319,1,1,"Kenya"
1,0.0316614443160595,1,1,"Kenya"
1,-0.162857778310952,1,1,"Kenya"
1,-1.0959771795544,1,1,"Kenya"
1,-0.25626327422322,1,1,"Kenya"
1,0.000101149621489348,1,1,"Kenya"
1,2.41783936370384,1,1,"Kenya"
1,0.64436176481997,1,1,"Kenya"
1,-0.480901566534147,1,1,"Kenya"
1,-0.952134218769615,1,1,"Kenya"
1,0.259411997439661,1,1,"Kenya"
1,-0.831368489630718,1,1,"Kenya"
1,-0.117404011063333,1,1,"Kenya"
1,-0.0227495344425497,1,1,"Kenya"
1,-1.07485949583884,1,1,"Kenya"
0,0.0316614443160595,1,1,"Kenya"
0,-0.0863357996512345,1,1,"Kenya"
0,-1.01498465824668,1,1,"Kenya"
0,-0.117404011063333,1,1,"Kenya"
1,-0.327132663279085,1,1,"Kenya"
1,-0.723290753784559,1,1,"Kenya"
1,-0.691394444560302,1,1,"Kenya"
1,-0.575902515904168,1,1,"Kenya"
1,-0.841081498152472,1,1,"Kenya"
0,0.236686648656142,1,1,"Kenya"
0,-0.302966022179353,1,1,"Kenya"
0,-0.656819664851212,1,1,"Kenya"
0,0.561719398346876,1,1,"Kenya"
0,-0.403066177019572,1,1,"Kenya"
1,-0.865323824671802,1,1,"Kenya"
1,-1.07356136345556,1,1,"Kenya"
1,-0.967992682233018,1,1,"Kenya"
1,-1.01498465824668,1,1,"Kenya"
1,-0.593507620990398,1,1,"Kenya"
0,1.4950897741318,1,1,"Kenya"
1,-0.480901566534147,1,1,"Kenya"
1,-0.606533883894224,1,1,"Kenya"
1,0.605159794530557,1,1,"Kenya"
1,-0.775485307878035,1,1,"Kenya"
1,-0.117404011063333,1,1,"Kenya"
1,0.0316614443160595,1,1,"Kenya"
1,-0.25626327422322,1,1,"Kenya"
1,1.4695292872578,1,1,"Kenya"
0,-0.0964793083964922,1,1,"Kenya"
0,-1.30707510323623,1,1,"Kenya"
0,-0.0863357996512345,1,1,"Kenya"
0,0.461928002359942,1,1,"Kenya"
0,-0.38402203262249,1,1,"Kenya"
0,-0.352760813821596,1,1,"Kenya"
0,-0.723290753784559,1,1,"Kenya"
0,0.432285895985109,1,1,"Kenya"
0,-0.575902515904168,1,1,"Kenya"
0,-0.403066177019572,1,1,"Kenya"
0,-0.788439373044271,1,1,"Kenya"
0,0.911305424680129,1,1,"Kenya"
0,-0.86426834310575,1,1,"Kenya"
0,3.65525267394182,1,1,"Kenya"
0,0.834803208790797,1,1,"Kenya"
0,0.185430347571122,1,1,"Kenya"
0,-0.536479761960023,1,1,"Kenya"
0,4.06263776543951,1,1,"Kenya"
0,-0.975068099851902,1,1,"Kenya"
0,-0.593507620990398,1,1,"Kenya"
1,-0.737183071959251,1,1,"Kenya"
1,-0.956804493565229,1,1,"Kenya"
1,-0.777831393833026,1,1,"Kenya"
1,-0.775485307878035,1,1,"Kenya"
1,-0.688728342975811,1,1,"Kenya"
1,-0.0863357996512345,1,1,"Kenya"
1,-0.975068099851902,1,1,"Kenya"
1,-0.841081498152472,1,1,"Kenya"
0,-0.839695674129292,1,1,"Kenya"
0,0.911305424680129,1,1,"Kenya"
0,-0.259209698196682,1,1,"Kenya"
0,0.821177027912904,1,1,"Kenya"
0,3.69142486835319,1,1,"Kenya"
1,-1.01909272792686,1,1,"Kenya"
1,-0.0569872567721125,1,1,"Kenya"
1,-0.841081498152472,1,1,"Kenya"
0,-0.25626327422322,1,1,"Kenya"
0,0.432285895985109,1,1,"Kenya"
0,-0.859310080507059,1,1,"Kenya"
0,-0.117404011063333,1,1,"Kenya"
0,0.619413249954292,1,1,"Kenya"
0,-0.518520546014854,1,1,"Kenya"
0,0.0228458600174344,1,1,"Kenya"
0,-0.403066177019572,1,1,"Kenya"
1,0.287942949741163,1,1,"Kenya"
1,1.31306897144158,1,1,"Kenya"
1,3.24644282248683,1,1,"Kenya"
1,2.33389877998503,1,1,"Kenya"
1,0.834803208790797,1,1,"Kenya"
1,0.80050596059137,1,1,"Kenya"
1,-0.25626327422322,1,1,"Kenya"
1,-0.43208359674213,1,1,"Kenya"
1,-0.3763197239303,1,1,"Kenya"
1,-0.498286899004985,1,1,"Kenya"
0,-0.839695674129292,1,1,"Kenya"
0,1.23614952422144,1,1,"Kenya"
0,-1.03494293744406,1,1,"Kenya"
0,-0.936302220137885,1,1,"Kenya"
0,-0.327132663279085,1,1,"Kenya"
0,0.21076420533812,1,1,"Kenya"
0,-0.846980953251205,1,1,"Kenya"
0,0.422011443965169,1,1,"Kenya"
0,-0.117404011063333,1,1,"Kenya"
0,-0.788439373044271,1,1,"Kenya"
0,-0.956804493565229,1,1,"Kenya"
1,-0.777831393833026,1,1,"Kenya"
1,-0.975068099851902,1,1,"Kenya"
1,-0.117404011063333,1,1,"Kenya"
1,0.544224455166266,1,1,"Kenya"
1,0.44427794511879,1,1,"Kenya"
1,0.0865380988942132,1,1,"Kenya"
1,1.1205512158737,1,1,"Kenya"
1,0.0730374329074926,1,1,"Kenya"
1,-0.352760813821596,1,1,"Kenya"
1,-0.259209698196682,1,1,"Kenya"
1,-0.176736931956433,1,1,"Kenya"
1,0.530096898437475,1,1,"Kenya"
0,0.646737057336308,1,1,"Kenya"
0,0.21076420533812,1,1,"Kenya"
0,0.778033693076004,1,1,"Kenya"
0,0.322220047978235,1,1,"Kenya"
0,-0.307845455034159,1,1,"Kenya"
0,-0.956804493565229,1,1,"Kenya"
0,-0.669785207242121,1,1,"Kenya"
0,-0.38402203262249,1,1,"Kenya"
1,-0.0227495344425497,1,1,"Kenya"
1,-0.259209698196682,1,1,"Kenya"
1,2.21825657172997,1,1,"Kenya"
1,-0.117404011063333,1,1,"Kenya"
0,0.605159794530557,1,1,"Kenya"
0,3.69142486835319,1,1,"Kenya"
1,-0.865323824671802,1,1,"Kenya"
1,-0.536479761960023,1,1,"Kenya"
1,-0.950705292378473,1,1,"Kenya"
1,-0.675693911891101,1,1,"Kenya"
1,-0.783949064961224,1,1,"Kenya"
1,0.287942949741163,1,1,"Kenya"
1,-0.956804493565229,1,1,"Kenya"
1,-0.43208359674213,1,1,"Kenya"
1,-0.117404011063333,1,1,"Kenya"
1,-0.737183071959251,1,1,"Kenya"
1,-0.419722892069688,1,1,"Kenya"
1,-0.276497088051227,1,1,"Kenya"
1,-0.543969269188349,1,1,"Kenya"
0,0.94914923373793,1,1,"Kenya"
0,-0.75831781475166,1,1,"Kenya"
0,0.0865380988942132,1,1,"Kenya"
0,0.621594235939036,1,1,"Kenya"
0,0.263478876878319,1,1,"Kenya"
1,-0.480901566534147,1,1,"Kenya"
1,-1.1903182333459,1,1,"Kenya"
1,-0.593507620990398,1,1,"Kenya"
0,-0.737183071959251,1,1,"Kenya"
0,-0.0227495344425497,1,1,"Kenya"
0,-0.86426834310575,1,1,"Kenya"
0,0.0730374329074926,1,1,"Kenya"
0,0.80050596059137,1,1,"Kenya"
0,-0.0227495344425497,1,1,"Kenya"
0,0.000101149621489348,1,1,"Kenya"
0,-0.096903815166886,1,1,"Kenya"
0,0.263478876878319,1,1,"Kenya"
1,-0.942208276299333,1,1,"Kenya"
1,-1.14361548538976,1,1,"Kenya"
1,1.98815098289414,1,1,"Kenya"
1,-0.476111119917234,1,1,"Kenya"
1,-0.97439050893205,1,1,"Kenya"
1,-1.04472087846937,1,1,"Kenya"
1,-1.23702098130203,1,1,"Kenya"
1,-0.985280072087563,1,1,"Kenya"
